编号,题名,作者,作者机构,日期,期刊,专辑,专题,引用数,下载数,关键词,摘要,URL,爬取时间
125,面向未来 创新发展——公共图书馆事业高质量发展思考,王惠君,广东省立中山图书馆广东图书馆学会,2021/1/27 16:27,图书馆论坛,信息科技,图书情报与数字图书馆,32,1716,“十四五”时期; 公共图书馆; 智慧图书馆; 第三代图书馆; 体系化建设; 融合发展; 高质量发展,"中国特色社会主义进入了新时代,推动高质量发展是适应全面建成小康社会、全面建设社会主义现代化国家的必然要求,更是遵循经济规律发展的必然要求。公共图书馆事业经过近20年的高速发展,必须转型以适应社会高质量发展的需要。在新时代中应充分考虑社会转型、技术创新和群众需求正在加速促进公共图书馆的转型发展,思考公共图书馆事业未来的发展。今年是""十四五""开启之年,文章从""十二五""至""十三五""时期转型中的公共图书馆事业发展实践,公共图书馆事业面临的机遇与挑战,以及公共图书馆事业发展的逻辑等方面,思考未来公共图书馆高质量发展的路径。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8XND4vMHHfKQs3b6lvvy6sTbIFl0xy86p73ezlce1QO6Uq5sdfGlnxiWwzXtlsT5CTfvfriL-zElSgazGkyKd3WDujUPdz_EFX9fWVsJWWv9CZhGzCP7L4RH7FBNZGb7KtIFjQtsb0f8g==&uniplatform=NZKPT&language=CHS,2024/6/28
126,智慧图书馆AI服务用户接受行为影响因素研究,范昊;徐颖慧;曾子明,1. 武汉大学信息管理学院2. 武汉大学信息资源研究中心、信息管理学院,2021/1/25,图书馆学研究,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,33,2304,智慧图书馆; 人工智能服务; 用户接受行为; 整合技术模型,"为推动智慧图书馆与人工智能的深度融合,人工智能重塑图书馆服务,以向读者提供更优质服务,文章以整合技术模型为基础,结合信任理论、感知风险理论、个体创新理论,构建智慧图书馆人工智能服务用户接受行为影响因素模型,并运用结构方程模型实证分析。结果表明,感知信任、绩效期望、努力期望及个人创新对用户接受智慧图书馆人工智能服务产生正面影响,而便利条件、感知风险和社会影响未到达显著性水平。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8WOGxFDNNcavSSdH3Rac4QuyEb2aMQOrrSeVhAbdb9TylqMmskaTRX06agu5WJJ9RHmlprVNn48WQMUg8HAdv3KWwVF6Cl9QJRtQvf1xDb66rWFnJ3wZ0d1QhvR8B5MV6zE3rWJ0b1LgQ==&uniplatform=NZKPT&language=CHS,2024/6/28
127,“去机构化”思维对我国图书馆学的影响,吴志荣,上海师范大学图书馆,2021/1/15,图书馆杂志,信息科技,图书情报与数字图书馆,3,249,去机构化; 图书馆学; 研究现象,"""去机构化""即""去图书馆化"",这种思维出现的初期推动了图书馆学的发展,而随着这种思维的逐步扩展,对我国图书馆学产生了负面影响,使得我国图书馆学研究出现了""泛化""和""弱化""等现象。文章阐述了""去机构化""思维的起源和发展以及对我国图书馆学的影响。同时追本溯源,提出认清图书馆学的使命,是当今我国图书馆学研究领域的重要课题。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8WOGxFDNNcavSSdH3Rac4QuyEb2aMQOrrQY1bv6Fi2qMlqqdW11_3h3pqFWcrmYfU2ULRjrxdF-wdv1ZH6_2l0_G_EUk7W9wAJRrAAHkMTc3EFTSwzHOOauEWZAtoRVCAxQOd0Fs38oVg==&uniplatform=NZKPT&language=CHS,2024/6/28
128,图书馆去中心化研究,武洪兴;赵大志,攀枝花学院图书馆,2021/1/15,图书馆工作与研究,信息科技,图书情报与数字图书馆,5,592,图书馆; 去中心化; 区块链,"中心化思想是传统图书馆的主导思想,已在很大程度上阻碍着图书馆的发展。图书馆迫切需要通过去中心化打破传统思想的局限与禁锢,开拓发展新路。本文介绍了图书馆去中心化的内涵,从社会发展、技术、读者、管理4个方面,分析了图书馆去中心化的必要性,探讨了图书馆去中心化的策略,提出了推动图书馆去中心化的建议,以期构建更为公平、和谐、高效的图书馆。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8VMjbOoP1Y3ezkJ3pRW8XQlLWHafUJh_h_UFIIVQVO4BamfaS10sUTTo64bf7SqL2Uoag7seCJAvokL3dfL0vvKdKJNg9nEn_CTlScumRq-h1girobNuzeGF5ckK2C8RBE8SXMe49qPhg==&uniplatform=NZKPT&language=CHS,2024/6/28
129,基于情绪分析的智慧图书馆阅读推广服务研究——以老年群体抑郁情绪分析为例,赵健;黄佳豪;阮遥军,安徽建筑大学公共管理学院,2021/1/15,图书馆工作与研究,信息科技,图书情报与数字图书馆,12,1307,智慧图书馆; 阅读推广; 深度学习; 情绪分析; 老年群体,"阅读推广服务是智慧图书馆建设的重要内容,通过智慧图书馆阅读推广服务向老年人提供高质量阅读服务是公共图书馆的重要职责。基于情绪分析的智慧图书馆阅读服务平台获取老年人社交媒体数据,可用深度学习的长短时记忆模型分析其潜在抑郁倾向。本文从5个维度设计了智慧图书馆服务质量的量化评价指标,并探讨了实施老年人智慧图书馆阅读推广服务应采取的对策建议,提出了智慧图书馆面向特定目标人群的阅读推广服务模式,设计了读者视角智慧阅读推广服务的自动量化评价方法,数据客观,消除了以往评价中的主观因素。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8VMjbOoP1Y3ezkJ3pRW8XQlLWHafUJh_h_UFIIVQVO4BamfaS10sUTT8BW5wxLeKsH6hwLBq8A65iMR-5lNjdegBBykG5h0IhsuEgKQhHyHjAWDNEcHXgXoshpfwGO1ldOwShb8wTk36w==&uniplatform=NZKPT&language=CHS,2024/6/28
130,香港高校图书馆最新战略规划分析及其启示,尹怀琼;杨陵宇;高凯,中南大学图书馆,2021/1/15,图书馆,信息科技,图书情报与数字图书馆,5,425,高校图书馆; 战略规划; 香港; 启示,"本文调研香港地区8所公立高校图书馆网站,收集其图书馆战略规划信息,选取香港大学图书馆、香港理工大学图书馆及香港岭南大学图书馆最新制定的未来几年战略规划为文本内容,详细对比分析3所高校图书馆的战略规划愿景、使命、目标及其实施计划等内容,总结其制定战略规划的思维过程和框架构建方法,以期为内地高校图书馆制定""十四五""规划提供借鉴。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8XkgeyhlQo7hVaGzkdPornIrbTvIz1Sp-splfd9lzP36OwbOSNY5Qa6HbhAn4SWmsTh6lII0hpCs1V6MPnl_UQUVX_MTuWWpNKEt6ACSXqzhEU-vPFoQIMxsdOkU-3-_zYtb0MU5f-4ag==&uniplatform=NZKPT&language=CHS,2024/6/28
131,基于PEST分析的高校图书馆“十四五”规划编制环境分析与应对,田丽梅,渤海大学,2021/1/15,图书馆,信息科技,图书情报与数字图书馆,7,994,“十四五”规划; 高校图书馆; PEST生态分析; 智慧图书馆,"五年规划是图情事业的顶层设计,能够凝聚发展共识,引领创新方向。文章利用战略管理工具PEST对""十四五""期间高校图书馆面临的政治、经济、社会以及技术环境进行剖析,结合环境发展趋势,提出高校图书馆应以服务""双一流""建设为己任,以""过紧日子""为契机,以信息技术为依托,全力提高知识服务水平,构建开放共享的智慧图书馆服务体系。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8Xz5T8YLkkOJU3CKDSVxi-LwwngAMzXmjhYaaea5zRxw_LaMTKC0l2E-8GSOvigaOKPPUDDVV-pxAGjq-6rJZPoWCvqmRhhswq-1HPI-oMMCOjlVVoCw29WLsJs39CZid6_SGEhuvZDow==&uniplatform=NZKPT&language=CHS,2024/6/28
132,全国智慧图书馆体系:开启图书馆智慧化转型新篇章,饶权,国家图书馆中国图书馆学会,2021/1/15,中国图书馆学报,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,213,6322,文化自信; 图书馆; 智慧图书馆; 全国智慧图书馆体系; 国家图书馆,"人类社会正在经历一场以人工智能、大数据、云计算、物联网、区块链、5G等技术为引领的新一轮科技和产业革命,智慧城市、智慧社会、智慧国家乃至智慧地球的建设理念应运而生,并迅速发展成为一项全球性重大议题。图书馆亟需向智慧化转型,为社会提供更便捷高效、更具智慧化的信息与知识服务。国家图书馆是全国图书馆信息网络中心,曾经组织实施""国家数字图书馆工程""""数字图书馆推广工程"",推动了我国图书馆事业由传统向数字化转型。面对智慧化发展的新需求,国家图书馆提出建设""全国智慧图书馆体系"",推动图书馆由数字化向智慧化发展。""全国智慧图书馆体系""建设的总体架构可以归纳为1+3+N,其中,""1""是指一个""云上智慧图书馆"",""3""是指搭载其上的全网知识内容集成仓储、全国智慧图书馆管理系统和全域智慧化知识服务运营环境,""N""是指在全国各级图书馆及其基层服务点普遍建立线下智慧服务空间。为确保项目科学发展,""全国智慧图书馆体系""将建设三个支撑保障体系:一是智慧图书馆评价体系,二是智慧图书馆标准规范体系,三是智慧图书馆研究及人才培养体系。图1。参考文献20。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8Xz5T8YLkkOJU3CKDSVxi-LwwngAMzXmjjV5hoqPaYjrvU198ew6e4srYT65Pwi9gcKGqx-lETh5y5L2a54z5j-7myPgYkrwHBl7zD76zkh2UEVBDesgXxAEv_fWRA7DB5iAjROHovzNQ==&uniplatform=NZKPT&language=CHS,2024/6/28
133,“十四五”时期公共图书馆高质量发展应具备的五大指向,王世伟,上海社会科学院信息研究所,2021/1/10,图书馆理论与实践,信息科技,图书情报与数字图书馆,34,1159,“十四五”规划; 公共图书馆; 高质量发展,"""十四五""期间(2021-2025),中国进入了高质量发展的新阶段,从公共图书馆高质量发展而言,文章提出公共图书馆应当努力实现深度一体化、深度均等化、深度智能化、深度绿色化、深度安全化这五大指向的发展,并分别对以上五个方面进行了具体分析和阐述。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8UtfVbEJmEbvVfcn9C_gKebIvnK7jcxwsClow9ps5Y9xgMUiJI80A5a2iYnTawgs0Kzon_ueQpoWPvBsPQwQWKkcJ4YhMbc8KYL1lJ337zY0wOSKfMsOp3mmZ1jpT2BVKftuS65ByPqSg==&uniplatform=NZKPT&language=CHS,2024/6/28
134,数据驱动视野下高校智慧图书馆建设及服务规划——兼论“十四五”时期智慧图书馆发展路径,邵波;许苗苗;王怡,1. 南京大学信息管理学院2. 南京大学图书馆,2021/1/5,图书情报工作,信息科技,图书情报与数字图书馆,38,2210,高校图书馆; 智慧图书馆; 数据服务; “十四五”规划,"[目的/意义]在科研全面数据化和""十四五""规划的背景下,高校图书馆建设方向和路径对教学和科研具有重大影响,本文旨在提出图书馆智慧化转型的下一步落地和实践思路。[方法/过程]梳理高校图书馆发展现状,解析发展新态势,以数据意识为出发点,尝试构建智慧图书馆在技术、服务、空间等方面的发展方案。[结果/结论]智慧图书馆的建设应重点在智能设备、智慧服务平台和智慧空间上""下深功"",此外还需在馆员角色和联盟建设上深入思考。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8UtfVbEJmEbvVfcn9C_gKebIvnK7jcxwsAi9IzbtLn1a7osT-Hlusg6iH_PQUQqk04CP-6nNUfAIbW9nnLg0mjgKjAiU_WpN7mgFewKr8KyYTpY8H4xlJfRoxrKwVugNEVwr1X7OPpw0g==&uniplatform=NZKPT&language=CHS,2024/6/28
135,学科交叉视域下学习支持服务内涵与外延研究——基于图书馆学与教育技术学融合视角,陈晓慧;张天琪;陈慧颖,1. 东北师范大学信息科学与技术学院2. 长春职业技术学院信息学院,2021/1/1,情报科学,信息科技,图书情报与数字图书馆,7,1406,学习支持服务; 学科交叉; 信息科学; 教育科学; 知识可视化,"【目的/意义】建设学习型社会、为公民提供优质终身学习支持服务体系,是当前党和国家的重要任务。【方法/过程】采用知识可视化分析方法,基于2017年～2019年图书情报领域和教育技术学领域CSSCI检索期刊发表的全部学习支持服务研究文献,探究了信息、技术和教育交叉融合视角下学习支持服务的内涵与外延。【结果/结论】基于研究结果,从学科、方法和数据层面提出了促进未来学习支持服务理论研究与实践发展的相关策略。【创新/局限】这些策略对于促进学科交叉融合,避免重复研究,建立更加精准的公民学习支持服务体系具有一定的指导价值。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8Vf-itYSZpWroKGARRfAH2R0rvrwC1L4wcxm4R5-JiH452AlY3Y8W1sqUXkAVnXzwihoE7LkzhSr2wT4Q8CRyIbQGzeUFibij5PQrDZE4E1sqknT7vdzB7mo3sz3s5c9mS4qi_Rdk8AgA==&uniplatform=NZKPT&language=CHS,2024/6/28
136,图书采分编智能作业系统的研究与应用,王惠君;吴昊;潘咏怡;钱海钢;陈润好,1. 广东省立中山图书馆2. 广东图书馆学会3. 广东省立中山图书馆采编部4. 广东省立中山图书馆技术部,2020/12/17 15:06,图书馆论坛,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,19,900,图书馆自动化; 工业自动化; 图书分拣; 智能图书分编; 智慧图书馆,"随着入藏图书日渐增多,作为图书馆基础业务的图书采购验收、分类编目、典藏管理等工作愈加繁重。为减少采分编工作的人工成本、提高图书馆工作效率,文章重组采分编工作流程,综合采用工业机器人、机器视觉等技术,设计适用于图书采分编业务流程的智能作业系统。该系统的落地将实现自动机械化操作替代重复的人工操作,完成自动验收、智能化分类编目等信息化数据处理,以降低图书馆员劳动强度,提高服务效能,深化智慧图书馆理念,打造""智能化编目""新业态,为未来图书馆业务优化提供创新方案。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8WE1s0qiBLaB1vt9JKk_sdjd2oNDKscpmaBGSBn_V0RQRCm6xumAXrqM5rnUrXG4oNyIh71c4h7TMTiTw6V_G5dJKm7TOwXEyyzBR1degKytVrXxSMktpnROLI4kibkPkE5bV9rvU1Kjw==&uniplatform=NZKPT&language=CHS,2024/6/28
137,数字孪生技术驱动下的智慧图书馆应用场景与体系架构设计,石婷婷;徐建华;张雨浓,南开大学商学院,2020/11/17 17:08,情报理论与实践,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,66,3110,数字孪生; 智慧图书馆; 应用场景; 体系架构; 关键技术,"[目的/意义]随着数字孪生技术的发展以及在制造、航空、医疗等领域的成功应用,其已开始逐步应用于智慧城市建设中,智慧图书馆作为智慧城市的重要组成部分,引入数字孪生技术将为图书馆建设注入新的活力,推动智慧图书馆转型升级。[方法/过程]文章通过分析数字孪生图书馆的概念、特点,进而提出数字孪生技术在智慧图书馆的应用场景,此外基于数字孪生技术设计了图书馆体系架构,提出了保障数字孪生图书馆顺利建设的策略,以期为图情领域应用数字孪生技术提供启发和指引。[结果/结论]研究发现数字孪生技术在图书馆管理与服务中均具有较大的应用价值,基于数字孪生技术设计了图书馆体系架构,提出可以通过国家层面建立统一标准、持续技术攻关,行业层面开发评估工具、推动多方合作,图书馆层面持续升级设备、培养专业化队伍,共同保障数字孪生图书馆的建设和运行。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8WE1s0qiBLaB1vt9JKk_sdjd2oNDKscpmYstAmuMBVIOjU6f3fJPpO0AVr6byrha6C_SxLcK5Mym1969r_GY7PCIAztlpOiMQvR-sSc_IWlO92Qtm_44xWtWD3DyKzJ2Y68lI606P9niA==&uniplatform=NZKPT&language=CHS,2024/6/28
138,新时代文献信息的价值重构:人工智能技术和智慧服务,马海群;张涛;李钟隽,1. 黑龙江大学信息资源管理研究中心2. 黑龙江大学信息管理学院3. 黑龙江大学新闻传播学院,2020/11/6 13:57,情报理论与实践,信息科技,图书情报与数字图书馆,16,1371,文献信息; 生态圈; 价值重构; 人工智能技术; 智慧服务,"[目的/意义]传统文献信息经历了从文本化、数字化到网络化的演变过程,目前正在向数据化、智慧化迈进,在此过程中文献信息的价值也产生了延展与升华。对文献信息价值的重构一方面为图书馆学、情报学、文献学等学科发展提供技术理论支撑;另一方面为文献信息服务工作提出智慧化的应用场景。[方法/过程]文章系统梳理了文献信息及其价值的演进阶段,通过建立文献信息生态圈,剖析文献信息价值重构的动因,全面阐释了从文献信息到智慧再到文献的进化过程,将人工智能技术作为文献信息理论价值的延展,将智慧服务作为文献信息应用价值的升华。[结果/结论]秉承以技术驱动、智慧向善、服务用户的核心理念,从理论价值和应用价值角度对文献信息价值进行重构,以促进图书馆学、情报学、文献学等学科适应新时代的发展。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8WwMGTsADnuIHNF5NmiULqvXhctrjRqfz5aYS9Wll-7C_4fR4lGjLSZo2VRavfwGzGeSb8QyALloZ5TJBAABVUpxJkJYOPm4nC4jHGUKbRoJcRNgUXQ-7EjONOKZn4_TUDF1xQvw2QDaw==&uniplatform=NZKPT&language=CHS,2024/6/28
139,数字人文人工智能平台的设计与实现——以ECNU-DHAI平台为例,邓璐芗;许鑫,1. 华东师范大学调查与数据中心2. 华东师范大学经济与管理学部信息管理系,2020/6/30 11:31,图书馆杂志,信息科技,自动化技术,6,882,数字人文; 人工智能; 众包,"当前的数字人文实践,主要由各组织和机构单独实施,以专题专项为主要建设模式,存在着难以应对海量多源异构资源数字化需求、重复建设、标准缺位制约数据关联和共享等问题。为此,本研究构建了实现机器自动化流程闭环和实践成果共享的数字人文人工智能平台,并对其基础层、平台层、服务层和应用层分别进行了系统的介绍。最后,以华东师范大学DHAI平台实践为例,对其架构设计、计算资源规划和演进、古籍文献自动识别和众包校对、深度著录应用进行了详细介?绍。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8WwMGTsADnuIHNF5NmiULqvXhctrjRqfz4zpNGWdsLKwXTvBa09WEv_BRUyaNmrv2W8AHFURFED8JK0hGRQeFQRZ9hhm6X_hhAuI_5ZVZQxuiZ5dgw77byCEyBbGCWDbb_U6QB8gwQdug==&uniplatform=NZKPT&language=CHS,2024/6/28
1,元宇宙与智慧图书馆：科技赋能文化新路径,赵志耘;林子婕,1. 中国科学技术信息研究所2. 北京大学信息管理系,2023-01-09 16:02,图书情报知识,无,无,20,2230,无,党的十八大以来，“建设文化强国”成为我国国家文化战略的集中表达，并确定了“国民素质和社会文明程度达到新高度，国家文化软实力显著增强”的文化战略目标。二十大报告中提出：推进文化自信自强，繁荣发展文化事业和文化产业。科技力量赋能文化新业态发展，以“文化+科技”为双轮驱动更好服务人民，成为中国式现代化的重要内容。本期专栏中我们特别邀请到中国科学技术信息研究所所长、科技部新一代人工智能发展研究中心主任赵志耘研究员为我们撰稿，探讨科技赋能文化发展的新路径。其中，《元宇宙赋能的智慧图书馆建设与发展》一文探索了元宇宙对图书馆未来发展的影响及其对图书馆建设的赋能，描绘了智慧图书馆未来发展蓝图。《科技赋能文化遗产数字化发展新业态》是根据赵志耘研究员在“文化遗产数字化传承：国际视野和本土探索”主题论坛上的特邀主旨报告内容整理，经授权刊发。智慧图书馆、文化遗产数字化都是当前关注的热点问题，希望本文能够为学界和业界提供有益的参考借鉴。,https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8UOSbQY_PZogwkStNadR2gp_RRtUWP0jlKX9jk537YqcuaETHJYzvW20CZs6-Dq5UanFL470G1QrTiUpdS0acvMNorp7yhtlTx-_s0dmvm_shejNJu9TL9JkcO7ROE5NauP5aWUnJ3ZUQ==&uniplatform=NZKPT&language=CHS,2024-06-28
2,北美高校图书馆数据素养教育实践进展及启示,杨波;李书宁,北京师范大学图书馆,2022-12-25,图书馆学研究,信息科技,图书情报与数字图书馆,3,720,北美高校图书馆; 数据素养教育,高校图书馆开展数据素养教育服务是大数据时代实现研究型图书馆可持续发展的重要举措。研究北美地区高校图书馆的数据素养教育实践可为国内的研究和实践提供重要参考。通过文献综述、网络调研和案例分析，从资源导航、用户教育、空间建设、数据馆员建设、校内外合作、特色项目6个方面研究北美高校图书馆数据素养教育服务的实践进展并总结其服务特点。为提高国内高校图书馆数据素养教育服务水平提出3方面优化策略：打造全方位的数据素养教育服务体系，服务研究数据生命周期全流程；加强校内外合作，充分利用并发挥大学资源优势；拓展人力资源发展思路，着力建设数据馆员队伍。,https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8UPK3M2Yiv9kUt_sBFg7jZryB5l_UP70Vy1HbTOH--uextUH6T5LRLG8zsq3zIvxpTNDLJcT4p1gILvwTesJCEZ1I6RnVVno3nh2ufl2ODrmcy-DFRT8Sk5goZttfU2CzO68WOU0YZgjg==&uniplatform=NZKPT&language=CHS,2024-06-28
3,隐私与价值：数智时代我国图书馆数据秩序平衡之道,陆兴华,南京工程学院图书馆,2022-12-20,新世纪图书馆,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,7,341,隐私; 图书馆; 数据价值,数智时代数据作为重要的资源，其生产资料价值需求与隐私安全不平衡问题备受社会关注。论文在对图书馆数据价值、隐私等现状分析的基础上，探索用户数据价值与隐私互补机制，构建法治、共治、自治框架以平衡价值与隐私关系，认为我国图书馆需要自我革新，不仅加强对数据价值关注，而且要从网络信息的公开属性方面关注隐私与价值问题，这样才能有助于数据的规范化使用，进而充分发挥价值，形成图书馆事业高质量发展新秩序。,https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8XFReujKWnuclHVmDqlHBvUsnXn0IO63aEgUc_rmhValPOti4qz1fPidTW0VNto4nik8iy7KiMv70sBOMsWpbER7nK-D_q6D47zbA_yHh3VsOqXxqGW5aU4XIOL_pxSc5B21Bkdpud7Vw==&uniplatform=NZKPT&language=CHS,2024-06-28
4,元宇宙与智慧图书馆建设探讨,史宇清,河海大学图书馆,2022-12-15,出版广角,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,1,429,元宇宙; 智慧图书馆; 应用场景; 服务平台,"近两年,元宇宙从理论逐渐走向实践,当下,业界已将智慧图书馆作为图情领域的发展新方向,而元宇宙正好为建设全智慧型图书馆提供了新参考。文章从智慧场馆服务、智慧机器人服务、云场景互动服务、区域联盟服务协同方面探讨元宇宙在智慧图书馆中的应用场景,展望智慧图书馆在服务、管理和业务三个方面可能出现的四大应用场景,并探讨元宇宙智慧图书馆服务平台的技术建设路线。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8WUA0HF9yW0zVJulLjJ2VEh8vf50V6MsyLG94xG55J_WAtJRmQ_f_yFzlTnpz-_PpsGwHkOdb3wSb0PzhalPIPt2KPlzqUoXOsQsDlu5Zpo3pg4oNdzChf3Vq1tYsqrQHZKSxfDxJ3u9g==&uniplatform=NZKPT&language=CHS,2024-06-28
5,智能机器人赋能图书馆服务:内涵、特征与实施路向,李立睿;张嘉程;魏银珍;邓仲华,1. 西南大学教育学部2. 西南大学计算机与信息科学学院3. 黄冈师范学院计算机学院4. 武汉软件工程职业学院计算机学院5. 武汉大学信息管理学院,2022-11-25,图书馆学研究,信息科技,自动化技术;图书情报与数字图书馆,10,857,智能机器人; 图书馆服务; 智慧服务,以智能机器人为代表的数智创新产物为图书馆服务治理提供了理论、方法和技术支撑，系统探究智能机器人赋能图书馆服务对于促进智慧图书馆发展与转型具有重要意义。通过运用文献调研、网络调查和案例分析的方法，在现有研究的基础上对智能机器人的内涵、特征以及在图书馆中的应用现状进行深入分析。从物理空间、流程管理、数字内容和文化氛围4个维度解构智能机器人赋能图书馆服务的概念内涵，归纳其具有人机融合和智慧实践的两个典型特征。同时，从数据资源融合与规范、人机协同服务与保障、智能服务隐私与安全、智慧文化培育与营造等方面阐释智能机器人赋能图书馆服务的实施路向。,https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8UCvyGlsVqF-Pr34MMiFXAnE89RqS3k18h2WWGX-VzAO4dlOXEDc7JWTS5zvhq2cuUzdOOl-ybqnsD8q8WO_VG6wTgwbucDJKlYbtANi4RB7myDQe1k25EFb1bdvUgkx2Holew37K8Z-w==&uniplatform=NZKPT&language=CHS,2024-06-28
6,大学图书馆数字化转型的影响因素分析,霍速,吉林大学图书馆,2022-11-25,图书馆学研究,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,5,877,数字化转型; 大学图书馆; 影响因素; TOE框架; 数字化转型框架,技术变革的迅猛发展掀起一场数字化转型的浪潮，大学图书馆面临着服务创新与技术转型的机遇与挑战。文章建构大学图书馆数字化转型分析框架，从四个维度提出大学图书馆数字化转型的影响因素，针对大学图书馆数字化转型的影响因素进行实证分析。研究建议大学图书馆以价值创造为中心、以技术革新为引领、以组织建设为重点、以环境建设为支撑，全方位促进数字化转型。,https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8US936Y0HBZRBs8c9r_U-OdTmL0io2NvvVvDLCIM0_NHwmUqPqLUfa7oKyMOvcfeNRlBjArKTmXsHJXUPitLUdrz3TecXSeFLMrFeymOoHRHOisEQsdWAGLnKTyt9BlTLrRRH0trv8kzw==&uniplatform=NZKPT&language=CHS,2024-06-28
7,全球首家具有元宇宙特性的数字图书馆落地上海,本刊编辑部,,2022-11-20,新世纪图书馆,无,无,1,308,无,<正>党的十八大以来，随着大数据、云计算、人工智能、区块链等技术创新日新月异，我国的5G、工业互联网等数字化融合基础设施迎来跨越式发展。今年8月，澎湃新闻、上海人工智能研究院、上海市信息安全测评认证中心、上海新华传媒连锁有限公司等发起的“数字内容生态实验室”在上海成立，并规划在年底向社会开放集公共聚集空间、文化体验空间、旅游休闲空间、商业消费空间于一体的“临港数字科技图书馆”。,https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8X2Raruqe11u7vyn5LjW5S344moI7qCpTHKZhjOsH81KnGT6OXQzyKD0luOrFFh3JjMLyvkqTSDmULjUx46PzJFu_TA0mlZw_iuXFj0JxOTQ5Fx7aqNPNiC1qUH4lySHS3Oy0V0FHp8Lg==&uniplatform=NZKPT&language=CHS,2024-06-28
8,数智赋能图书馆转型的现实逻辑与实现路径研究,魏珊;马海群,黑龙江大学信息管理学院,2022-11-15,图书馆工作与研究,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,16,2115,数智; 图书馆; 转型; 新发展,进入新发展阶段，数智赋能图书馆事业发展新格局，是由我国图书馆事业发展的现实逻辑决定的，也明确了中国图书馆数智化转型的路径选择。以数智观念变革作为中国图书馆事业转型的逻辑起点，分析国家政策引导、用户需求支持以及国际数智趋势驱动中国图书馆转型的现实逻辑，开启数智赋能中国图书馆事业高质量发展的新征程。我国图书馆需要把握数智化升级的高效驱动力，抓好事业高质量发展的赋能着力点，促进我国图书馆事业数智化转型与发展，包括转变办馆理念、改变馆藏模式、转换管理模式、服务数智化、更新基础设施等。,https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8WbtwNeUeB-zhnfpgZI95R-C6Mm2XairBPNCNYOf3Q_qRivFLYermIW_v_fBiHIkxL9ouxiTb3Zq6Xb1IRk8ptaPsD-ksemSt94DzYl-PvqWX29yy37Dgr8wKPu97YRN3W-VtL77gIjkw==&uniplatform=NZKPT&language=CHS,2024-06-28
9,公共图书馆为国家立法和决策服务的模式与路径研究——以国家图书馆为例,李春明;杜照熙;薛雪;尹汉超;谢岩岩,国家图书馆,2022-11-15,图书馆,信息科技,图书情报与数字图书馆,4,583,国家图书馆; 立法和决策服务; 服务模式,《公共图书馆法》将为政府提供信息和咨询服务列为公共图书馆的服务重点之一，而国家图书馆的法定重要职责之一也是为国家立法和决策服务。在此背景下，图书馆业内应把握新时代发展规律，总结符合国情的服务模式，实现从公共图书馆领域向智库领域发展的路径转变，将传统咨询服务与新的技术手段结合，守正创新，开拓新的模式与路径，以助力党和政府决策的科学化、民主化。,https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8USKtlQahL55j8CE9WHzLCXoIWDs70ytLFwEvYm194LHEJSUycSwakN2bveso0ueEjkAEPQOmU0nNHFf5lQmTFB6Py3zrV_2H39wIqvf5gYapI9aN44qKAB3ROGRHevnYWwx0Lgv-wUNg==&uniplatform=NZKPT&language=CHS,2024-06-28
